,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
SS Library - Stacks  ,NCC2025_AU,Library,Stacks,Library - stacks,2025,AU,NCC,218,165,32,SS Library - Stacks  _NCC2025AU,SS Library - Stacks  _NCC2025AUScheduleSet,100,10,0.107639151,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Library - Stacks  PeopleDef,NECB-C-Occupancy,SS Library - Stacks  Activity,5,0.002359604,0.12,0.0006096,,,,IMC Table 403.3.1.1,Public spaces - Libraries,,,IMC Table 403.3.1.1Public spaces - LibrariesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Library - Stacks  ElectricalEquipDef,NECB-C-Electric-Equipment,0.232258,2.50,0.37,0.2,NCC J7D3a,,Library - stack and shelving area; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Library - Stacks  LightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Library - Stacks  Infil,Always On,Space Function,Library - stacks,,8.85,,MediumRough,0.0122,1.707,1346,1140,0.9,0.7,0.7,Mixed_Library_Stacks_12mm,CalculatedEstimate,SteelShelvingWithBooks,,Mixed_Library_Stacks_12mm,CalculatedEstimateSteelShelvingWithBooksMixed_Library_Stacks_12mmInternalMassDef
SS Manufacturing Facility - Detailed Manufacturing  ,NCC2025_AU,Manufacturing Facility,Detailed Manufacturing,Mfg - detailed,2025,AU,NCC,127,0,255,SS Manufacturing Facility - Detailed Manufacturing  _NCC2025AU,SS Manufacturing Facility - Detailed Manufacturing  _NCC2025AUScheduleSet,142.8571429,7,0.075347405,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Manufacturing Facility - Detailed Manufacturing  PeopleDef,NECB-A-Occupancy,SS Manufacturing Facility - Detailed Manufacturing  Activity,10,0.004719207,0.18,0.0009144,,,,ASHRAE 62.1-2019,Miscellaneous Spaces - Manufacturing where hazardous materials are not used,,,ASHRAE 62.1-2019Miscellaneous Spaces - Manufacturing where hazardous materials are not usedVent,0.000000,0.00,0.1,0.5,0.1,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Manufacturing Facility - Detailed Manufacturing  ElectricalEquipDef,NECB-A-Electric-Equipment,0.750000,8.07293,0.37,0.2,IECC Table C405.3.2(2),,Manufacturing facility - in a detailed manufacturing area; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Manufacturing Facility - Detailed Manufacturing  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Manufacturing Facility - Detailed Manufacturing  Infil,Always On,Space Function,Mfg - detailed,,1.04,,MediumRough,0.0116,40.35,6074,483,0.9,0.7,0.7,Mixed_Manufacturing_Detailed_12mm,CalculatedEstimate,CNCMachineToolsAndWorkbenches,,Mixed_Manufacturing_Detailed_12mm,CalculatedEstimateCNCMachineToolsAndWorkbenchesMixed_Manufacturing_Detailed_12mmInternalMassDef
SS Manufacturing Facility - Equipment Room  ,NCC2025_AU,Manufacturing Facility,Equipment Room,Mfg - equipment,2025,AU,NCC,41,31,175,SS Manufacturing Facility - Equipment Room  _NCC2025AU,SS Manufacturing Facility - Equipment Room  _NCC2025AUScheduleSet,142.8571429,7,0.075347405,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Manufacturing Facility - Equipment Room  PeopleDef,NECB-A-Occupancy,SS Manufacturing Facility - Equipment Room  Activity,,,,,,,6,Rule of Thumb,Requires engineering analysis per Section 403.3.1.1,,,Rule of ThumbRequires engineering analysis per Section 403.3.1.1Vent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Plant/equipment room (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Manufacturing Facility - Equipment Room  ElectricalEquipDef,NECB-A-Electric-Equipment,0.185806,2.00,0.37,0.2,NCC J7D3a,,Plant rooms with a horizontal illuminance target of 80 lx; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Manufacturing Facility - Equipment Room  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Manufacturing Facility - Equipment Room  Infil,Always On,Space Function,Mfg - equipment,,0.76,,MediumRough,0.0069,40.55,4978,548,0.9,0.7,0.7,Mixed_Manufacturing_EquipRoom_7mm,CalculatedEstimate,CompressorsHPUsAndElectricalPanels,,Mixed_Manufacturing_EquipRoom_7mm,CalculatedEstimateCompressorsHPUsAndElectricalPanelsMixed_Manufacturing_EquipRoom_7mmInternalMassDef
SS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  ,NCC2025_AU,Manufacturing Facility,Extra High Bay (>50 ft Floor to Ceiling Height),Mfg - bay H > 15m,2025,AU,NCC,102,0,204,SS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  _NCC2025AU,SS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  _NCC2025AUScheduleSet,142.8571429,7,0.075347405,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  PeopleDef,NECB-A-Occupancy,SS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  Activity,,,,,,,0.09,ASHRAE 62.1-2019,Miscellaneous Spaces - Manufacturing where hazardous materials are not used,ACH,,ASHRAE 62.1-2019Miscellaneous Spaces - Manufacturing where hazardous materials are not usedACHVent,0.000000,0.00,0.1,0.5,0.1,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  ElectricalEquipDef,NECB-A-Electric-Equipment,1.360000,14.63892,0.37,0.2,IECC Table C405.3.2(2),,Manufacturing facility - in an extra-high-bay area (greater than 50 feet floor-to-ceiling height); radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Manufacturing Facility - Extra High Bay (>50 ft Floor to Ceiling Height)  Infil,Always On,Space Function,Mfg - bay H > 15m,,0.67,,MediumRough,0.029,48.41,7474,463,0.9,0.7,0.7,Mixed_Manufacturing_ExtraHighBay_29mm,CalculatedEstimate,OverheadCranesAndHeavyPresses,,Mixed_Manufacturing_ExtraHighBay_29mm,CalculatedEstimateOverheadCranesAndHeavyPressesMixed_Manufacturing_ExtraHighBay_29mmInternalMassDef
SS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  ,NCC2025_AU,Manufacturing Facility,High Bay  (25–50 ft Floor to Ceiling  Height),Mfg - 7.5 <= bay H <= 15m,2025,AU,NCC,216,191,216,SS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  _NCC2025AU,SS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  _NCC2025AUScheduleSet,142.8571429,7,0.075347405,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  PeopleDef,NECB-A-Occupancy,SS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  Activity,,,,,,,0.09,ASHRAE 62.1-2019,Miscellaneous Spaces - Manufacturing where hazardous materials are not used,ACH,,ASHRAE 62.1-2019Miscellaneous Spaces - Manufacturing where hazardous materials are not usedACHVent,0.000000,0.00,0.1,0.5,0.1,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  ElectricalEquipDef,NECB-A-Electric-Equipment,1.240000,13.34725,0.37,0.2,IECC Table C405.3.2(2),,Manufacturing facility - in a high-bay area (25-50 feet floor-to-ceiling height); radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Manufacturing Facility - High Bay  (25–50 ft Floor to Ceiling  Height)  Infil,Always On,Space Function,Mfg - 7.5 <= bay H <= 15m,,0.93,,MediumRough,0.0158,35.21,6079,611,0.9,0.7,0.7,Mixed_Manufacturing_HighBay_16mm,CalculatedEstimate,CranesCuttingTablesAndStorageRacks,,Mixed_Manufacturing_HighBay_16mm,CalculatedEstimateCranesCuttingTablesAndStorageRacksMixed_Manufacturing_HighBay_16mmInternalMassDef
SS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  ,NCC2025_AU,Manufacturing Facility,Low Bay (<25 ft Floor to Ceiling Height),Mfg - bay H < 7.5m,2025,AU,NCC,221,160,221,SS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  _NCC2025AU,SS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  _NCC2025AUScheduleSet,142.8571429,7,0.075347405,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  PeopleDef,NECB-A-Occupancy,SS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  Activity,,,,,,,0.09,ASHRAE 62.1-2019,Miscellaneous Spaces - Manufacturing where hazardous materials are not used,ACH,,ASHRAE 62.1-2019Miscellaneous Spaces - Manufacturing where hazardous materials are not usedACHVent,0.000000,0.00,0.1,0.5,0.1,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  ElectricalEquipDef,NECB-A-Electric-Equipment,0.860000,9.25696,0.37,0.2,IECC Table C405.3.2(2),,Manufacturing facility - in a low-bay area (less than 25 feet floor-to-ceiling height); radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Manufacturing Facility - Low Bay (<25 ft Floor to Ceiling Height)  Infil,Always On,Space Function,Mfg - bay H < 7.5m,,1.21,,MediumRough,0.0121,41.22,5929,485,0.9,0.7,0.7,Mixed_Manufacturing_LowBay_12mm,CalculatedEstimate,StampingPressesAndInjectionMolders,,Mixed_Manufacturing_LowBay_12mm,CalculatedEstimateStampingPressesAndInjectionMoldersMixed_Manufacturing_LowBay_12mmInternalMassDef
SS Museum - General Exhibition  ,NCC2025_AU,Museum,General Exhibition,Museum - exhibition,2025,AU,NCC,204,204,0,SS Museum - General Exhibition  _NCC2025AU,SS Museum - General Exhibition  _NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Museum - General Exhibition  PeopleDef,NECB-C-Occupancy,SS Museum - General Exhibition  Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Museums/galleries,,,IMC Table 403.3.1.1Public spaces - Museums/galleriesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Museum - General Exhibition  ElectricalEquipDef,NECB-C-Electric-Equipment,0.310000,3.33681,0.37,0.2,IECC Table C405.3.2(2),,Museum - in a general exhibition area; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Museum - General Exhibition  LightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Museum - General Exhibition  Infil,Always On,Space Function,Museum - exhibition,,1.18,,MediumRough,0.0133,5.26,846,1136,0.9,0.7,0.7,Mixed_Museum_Exhibition_13mm,CalculatedEstimate,DisplayCasesAndPedestals,,Mixed_Museum_Exhibition_13mm,CalculatedEstimateDisplayCasesAndPedestalsMixed_Museum_Exhibition_13mmInternalMassDef
SS Museum - Restoration  ,NCC2025_AU,Museum,Restoration,Museum - restoration,2025,AU,NCC,160,160,160,SS Museum - Restoration  _NCC2025AU,SS Museum - Restoration  _NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Museum - Restoration  PeopleDef,NECB-A-Occupancy,SS Museum - Restoration  Activity,7.5,0.003539405,0.12,0.0006096,,,,ASHRAE 62.1-2019,Public Assembly Spaces - Museums (children’s),,,ASHRAE 62.1-2019Public Assembly Spaces - Museums (children’s)Vent,1.393546,15.00,0,0.5,0,NCC S35C2l,,Class 8 laboratory (conservation/restoration workshop treated as lab); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Museum - Restoration  ElectricalEquipDef,NECB-A-Electric-Equipment,0.557418,6.00,0.37,0.2,NCC J7D3a,,Laboratory - artificially lit to an ambient level of 400 lx or more; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Museum - Restoration  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Museum - Restoration  Infil,Always On,Space Function,Museum - restoration,,1.65,,MediumRough,0.0058,12.26,2395,642,0.9,0.6,0.6,Mixed_Museum_Restoration_6mm,CalculatedEstimate,SteelCaseworkHoodsAndHardwoodBenches,,Mixed_Museum_Restoration_6mm,CalculatedEstimateSteelCaseworkHoodsAndHardwoodBenchesMixed_Museum_Restoration_6mmInternalMassDef
SS Post Office - Sorting Area  ,NCC2025_AU,Post Office,Sorting Area,Post office sorting,2025,AU,NCC,245,245,220,SS Post Office - Sorting Area  _NCC2025AU,SS Post Office - Sorting Area  _NCC2025AUScheduleSet,142.8571429,7,0.075347405,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Post Office - Sorting Area  PeopleDef,NECB-A-Occupancy,SS Post Office - Sorting Area  Activity,7.5,0.003539405,0.12,0.0006096,,,,ASHRAE 62.1-2019,"Miscellaneous Spaces - Sorting, packing, light assembly",,,"ASHRAE 62.1-2019Miscellaneous Spaces - Sorting, packing, light assemblyVent",0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Post Office - Sorting Area  ElectricalEquipDef,NECB-A-Electric-Equipment,0.371612,4.00,0.37,0.2,NCC J7D3a,,Wholesale storage area with a vertical illuminance target of 160 lx (sorting/logistics floor); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Post Office - Sorting Area  LightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Post Office - Sorting Area  Infil,Always On,Space Function,Post office sorting,,3.09,,MediumRough,0.0016,42.18,6314,491,0.9,0.7,0.7,Mixed_PostOffice_SortingArea_2mm,CalculatedEstimate,FlatSortCasesAndMailHampers,,Mixed_PostOffice_SortingArea_2mm,CalculatedEstimateFlatSortCasesAndMailHampersMixed_PostOffice_SortingArea_2mmInternalMassDef
SS Religious Building - Fellowship Hall,NCC2025_AU,Religious,Fellowship Hall,Religious - fellowship hall,2025,AU,NCC,255,153,255,SS Religious Building - Fellowship Hall_NCC2025AU,SS Religious Building - Fellowship Hall_NCC2025AUScheduleSet,8.333333333,120,1.291669806,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Religious Building - Fellowship HallPeopleDef,NECB-C-Occupancy,SS Religious Building - Fellowship HallActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Places of religious worship,,,IMC Table 403.3.1.1Public spaces - Places of religious worshipVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Religious Building - Fellowship HallElectricalEquipDef,NECB-C-Electric-Equipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aSS Religious Building - Fellowship HallLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Religious Building - Fellowship HallInfil,Always On,Space Function,Religious - fellowship hall,,1.15,,MediumRough,0.0073,2.614,902,1157,0.9,0.7,0.7,Mixed_ReligiousBuilding_FellowshipHall_7mm,CalculatedEstimate,FoldingTablesAndStackableChairs,,Mixed_ReligiousBuilding_FellowshipHall_7mm,CalculatedEstimateFoldingTablesAndStackableChairsMixed_ReligiousBuilding_FellowshipHall_7mmInternalMassDef
SS Religious Building - Worship/Pulpit/Choir,NCC2025_AU,Religious,Worship/Pulpit/Choir,Religious - pulpit/choir,2025,AU,NCC,255,153,255,SS Religious Building - Worship/Pulpit/Choir_NCC2025AU,SS Religious Building - Worship/Pulpit/Choir_NCC2025AUScheduleSet,8.333333333,120,1.291669806,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Religious Building - Worship/Pulpit/ChoirPeopleDef,NECB-I-Occupancy,SS Religious Building - Worship/Pulpit/ChoirActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Places of religious worship,,,IMC Table 403.3.1.1Public spaces - Places of religious worshipVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Religious Building - Worship/Pulpit/ChoirElectricalEquipDef,NECB-I-Electric-Equipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aSS Religious Building - Worship/Pulpit/ChoirLightingDef,NECB-I-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Religious Building - Worship/Pulpit/ChoirInfil,Always On,Space Function,Religious - pulpit/choir,,0.88,,MediumRough,0.0208,0.251,721,1568,0.9,0.7,0.7,Mixed_ReligiousBuilding_WorshipChoir_21mm,CalculatedEstimate,SolidHardwoodPewsAndPulpit,,Mixed_ReligiousBuilding_WorshipChoir_21mm,CalculatedEstimateSolidHardwoodPewsAndPulpitMixed_ReligiousBuilding_WorshipChoir_21mmInternalMassDef
SS Retail - Dressing/Fitting Room  ,NCC2025_AU,Retail,Dressing/Fitting Room,Retail - dressing/fitting,2025,AU,NCC,230,230,250,SS Retail - Dressing/Fitting Room  _NCC2025AU,SS Retail - Dressing/Fitting Room  _NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Retail - Dressing/Fitting Room  PeopleDef,NCC-C6Shop-Occupancy,,,,,,0.25,0.000117987,,IMC Table 403.3.1.1,"Retail stores, sales floors, and showroom floors - Dressing rooms",,,"IMC Table 403.3.1.1Retail stores, sales floors, and showroom floors - Dressing roomsVent",0.464515,5.00,0,0.5,0,NCC S35C2l,,Class 6 shop/shopping centre (reduced); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Retail - Dressing/Fitting Room  ElectricalEquipDef,NCC-C6Shop-Electric-Equipment,1.300643,14.00,0.37,0.2,NCC J7D3a,,Retail space including a museum and gallery whose purpose is the sale of objects; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Retail - Dressing/Fitting Room  LightingDef,NCC-C6Shop-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Retail - Dressing/Fitting Room  Infil,Always On,Space Function,Retail - dressing/fitting,,3.91,,MediumRough,0.0092,0.668,773,1222,0.9,0.7,0.7,Mixed_Retail_DressingRoom_9mm,CalculatedEstimate,MDFStallPartitionsAndMirrors,,Mixed_Retail_DressingRoom_9mm,CalculatedEstimateMDFStallPartitionsAndMirrorsMixed_Retail_DressingRoom_9mmInternalMassDef
SS Retail - Mall Concourse  ,NCC2025_AU,Retail,Mall Concourse,Retail - mall concourse,2025,AU,NCC,176,196,222,SS Retail - Mall Concourse  _NCC2025AU,SS Retail - Mall Concourse  _NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Retail - Mall Concourse  PeopleDef,NCC-C6Shop-Occupancy,SS Retail - Mall Concourse  Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Retail stores, sales floors, and showroom floors - Mall common areas",,,"IMC Table 403.3.1.1Retail stores, sales floors, and showroom floors - Mall common areasVent",0.464515,5.00,0,0.5,0,NCC S35C2l,,Class 6 shop/shopping centre; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Retail - Mall Concourse  ElectricalEquipDef,NCC-C6Shop-Electric-Equipment,0.464515,5.00,0.37,0.2,NCC J7D3a,,"Corridors (circulation concourse, not merchandising floor); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aSS Retail - Mall Concourse  LightingDef,NCC-C6Shop-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Retail - Mall Concourse  Infil,Always On,Space Function,Retail - mall concourse,,0.4,,MediumRough,0.0192,5.444,1338,1154,0.9,0.7,0.7,Mixed_Retail_MallConcourse_19mm,CalculatedEstimate,KiosksBenchesAndConcretePlanters,,Mixed_Retail_MallConcourse_19mm,CalculatedEstimateKiosksBenchesAndConcretePlantersMixed_Retail_MallConcourse_19mmInternalMassDef
